unique_id,treatment,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12
shanafdsaf,1,1008.0,719.0,506.0,,,,,,,,,
helloasdfasdf,2,914.0,,,,,,,,,,,
rhysrere,8,660.0,733.0,961.0,,,,,,,,,
,3,1103.0,,,,,,,,,,,
,7,2698.0,3736.0,4768.0,6142.0,5927.0,15440.0,,,,,,
,1,3425.0,,,,,,,,,,,
,8,,,,,,,,,,,,
,6,,,,,,,,,,,,
,2,,,,,,,,,,,,
