Year,Course,Age,score,sleep,round_1_score,round_2_score,round_3_score,round_4_score,round_5_score,round_6_score,round_7_score,round_8_score,round_9_score,round_10_score,round_11_score,round_12_score,round_1_time,round_2_time,round_3_time,round_4_time,round_5_time,round_6_time,round_7_time,round_8_time,round_9_time,round_10_time,round_11_time,round_12_time,treatment,treatment1,treatment3,treatment4,treatment5,treatment6,treatment7,treatment8,shape,size,color,shape.lm,size.lm,color.lm,Sex,Sex.lm,Lenses,Lenses.lm,avg_score,avg_time,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,avg,log_avg
1st,BS Statistics,19,9,3,4,5,6,7,8,9,7,5,7,9,6,3,3410,4608,6384,11113,9703,35856,45992,26864,33505,61560,36735,48710,7,0,0,0,0,0,1,0,hex,large,dynamic,1,1,1,Female,0,Yes,1,6.368421052631579,32.94567543859649,1.1730205278592376,1.0850694444444444,0.9398496240601504,0.6298929182039054,0.8244872719777389,0.25100401606425704,0.15220038267524788,0.18612269207861823,0.2089240411878824,0.14619883040935672,0.16333197223356472,0.06158899609936358,0.3527036939280833,-1.0421269685086603
3rd,BS Computer Engineering,22,13,2,4,5,6,7,8,9,10,11,12,13,8,13,2569,2664,4247,4183,3671,10721,49702,41159,90344,72768,143966,162217,7,0,0,0,0,0,1,0,hex,large,dynamic,1,1,1,Male,1,No,0,9.75438596491228,66.95505263157895,1.5570260801868432,1.8768768768768769,1.4127619496114905,1.6734401147501794,2.179242713157178,0.8394739296707396,0.20119914691561708,0.2672562501518501,0.1328256442043744,0.17864995602462622,0.0555686759373741,0.0801395661367181,0.6284260580098177,-0.4645369062264574
1st,BS Statistics,19,12,2,4,5,6,7,8,9,10,11,12,6,12,13,3705,2664,3088,3720,7352,8567,48289,50751,80136,92776,64320,213760,7,0,0,0,0,0,1,0,hex,large,dynamic,1,1,1,Male,1,No,0,9.447368421052632,66.00331578947367,1.0796221322537112,1.8768768768768769,1.9430051813471503,1.881720430107527,1.088139281828074,1.0505427804365588,0.20708650003106296,0.2167444976453666,0.1497454327643007,0.0646718979046305,0.1865671641791045,0.06081586826347305,0.5904373592420129,-0.5268917298488951
2nd,BS Statistics,20,10,6,4,5,6,7,8,9,10,6,6,5,6,4,2986,4744,4912,5078,7399,17967,49224,60671,18800,54095,58671,19775,7,0,0,0,0,0,1,0,hex,large,dynamic,1,1,1,Male,1,No,0,6.298245614035087,30.947824561403507,1.3395847287340925,1.0539629005059021,1.221498371335505,1.3784954706577393,1.0812271928639006,0.5009183503088996,0.20315293352836014,0.09889403504145308,0.3191489361702128,0.09242998428690267,0.10226517359513218,0.202275600505689,0.4682568581070478,-0.7587382915141581
2ND,BS STAT,NA,7,6,4,5,6,7,5,7,7,8,6,4,6,7,7810,8447,9047,7184,8256,12336,25038,25856,14319,9719,7026,15279,7,0,0,0,0,0,1,0,hex,large,dynamic,1,1,1,Male,1,Yes,1,6.140350877192983,13.295061403508772,0.5121638924455826,0.5919261276192731,0.6632032718028076,0.9743875278396437,0.6056201550387597,0.5674448767833982,0.2795750459301861,0.3094059405940594,0.4190236748376283,0.4115649758205577,0.8539709649871904,0.4581451665684927,0.5365420987968164,-0.6226102506575711
1st,BA Political Science,19,11,5,4,5,6,7,6,7,3,11,5,6,5,6,8154,2352,1288,2160,3681,4503,7800,5727,10928,12145,13271,21712,7,0,0,0,0,0,1,0,hex,large,dynamic,1,1,1,Male,1,No,0,6.017543859649122,9.462201754385966,0.4905567819475104,2.1258503401360542,4.658385093167702,3.240740740740741,1.6299918500407498,1.554519209415945,0.38461538461538464,1.9207263837960538,0.4575402635431918,0.49403046521202143,0.37676135935498456,0.2763448784082535,1.1979336644123668,0.18059812621724244
3rd,BS HRIM,21,8,7,4,5,6,7,8,2,5,3,8,5,5,5,3458,3727,4921,3737,8400,36672,21279,16985,21775,23687,26152,21377,7,0,0,0,0,0,1,0,hex,large,dynamic,1,1,1,Female,0,No,0,5.2368421052631575,18.781043859649124,1.156737998843262,1.3415615776764154,1.219264377159114,1.8731602890018733,0.9523809523809523,0.054537521815008726,0.23497344800037595,0.1766264350897851,0.36739380022962115,0.2110862498416853,0.19118996635056593,0.23389624362632735,0.5044116560096247,-0.6843625664953588
4th,BS Statistics,21,9,6,4,5,6,7,8,9,7,4,4,6,5,4,4352,5872,6424,6696,4863,36808,57888,49113,81672,48663,21536,12895,7,0,0,0,0,0,1,0,hex,large,dynamic,1,1,1,Female,0,No,0,5.62280701754386,32.711359649122805,0.9191176470588235,0.8514986376021798,0.933997509339975,1.045400238948626,1.645075056549455,0.24451206259508804,0.12092316196793809,0.08144483130739315,0.04897639337839162,0.12329696072991801,0.23216939078751858,0.31019775106630476,0.42470174764726343,-0.856368126655453
4th,BS Statistics,22,12,6,4,5,6,7,6,7,7,11,12,11,9,9,2306,3752,2360,3208,3272,10944,25281,21519,28630,49848,76191,130640,7,0,0,0,0,0,1,0,hex,large,dynamic,1,1,1,Male,1,No,0,8.56140350877193,41.19867543859649,1.7346053772766696,1.3326226012793176,2.542372881355932,2.1820448877805485,1.8337408312958434,0.6396198830409356,0.27688778133776354,0.5111761698963706,0.41914076143904994,0.22067083935162896,0.11812418789620821,0.06889161053276179,0.7327537731180149,-0.31094555014746333
2nd,BS Statistics,19,15,8,4,5,6,7,8,9,7,11,12,11,7,15,2681,2473,2520,5879,7504,16135,30736,39657,34168,53369,69327,58544,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Female,0,No,0,9.403508771929825,34.91883333333334,1.4919806042521446,2.0218358269308534,2.380952380952381,1.1906786868515054,1.0660980810234542,0.5577936163619461,0.22774596564289432,0.2773785208159972,0.35120580660266915,0.20611216249133393,0.10097076175227544,0.25621754577753486,0.6116306918333507,-0.49162662333260165
2nd,BS Statistics,19,9,8,4,5,6,5,8,9,4,8,10,7,4,7,7985,4049,2279,3974,6607,10850,15640,10567,27927,29904,40512,16393,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Male,1,No,0,6.640350877192983,18.015429824561405,0.5009392611145899,1.2348728081007656,2.6327336551118914,1.2581781580271767,1.2108369910700771,0.8294930875576036,0.2557544757033248,0.7570739093403993,0.3580764135066423,0.2340823970037453,0.09873617693522907,0.4270115293112914,0.6661993784041353,-0.4061662862699229
4th,BS Statistics,22,15,5,4,5,6,7,8,9,10,11,12,13,14,15,2516,3408,2128,4744,9406,15809,53961,85145,60240,151248,218520,172438,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Male,1,No,0,10.75438596491228,88.612,1.589825119236884,1.4671361502347418,2.819548872180451,1.4755480607082632,0.850520944078248,0.56929597064963,0.18531902670447176,0.12919137941159198,0.199203187250996,0.08595154977255898,0.06406736225517115,0.08698778691471717,0.5425684726715355,-0.6114409846261497
3rd,BS Statistics,21,15,5,4,5,6,7,8,2,5,9,4,11,7,15,6704,5632,5872,11536,31760,28176,57502,92921,62464,104513,116823,71521,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Female,0,Yes,1,7.640350877192983,62.213587719298246,0.5966587112171837,0.8877840909090909,1.021798365122616,0.6067961165048543,0.2518891687657431,0.0709823963657013,0.08695349726966019,0.09685646947406937,0.06403688524590163,0.10525006458526691,0.05991970759182695,0.2097286111771368,0.2448625254080211,-1.40705834670818
2nd,BS Statistics,19,9,4,4,5,6,7,6,9,6,8,7,5,10,10,5554,4398,4489,10071,12497,15191,32343,52985,42415,54512,66145,93967,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Female,0,Yes,1,7.385964912280702,42.43656140350877,0.7202016564638098,1.1368804001819008,1.3366005791935842,0.6950650382285771,0.4801152276546371,0.5924560595089198,0.18551154809386886,0.15098612814947626,0.1650359542614641,0.09172292339301438,0.15118300703000984,0.10642033905520024,0.35986801102124116,-1.022017950811519
