Year,Course,Age,score,sleep,round_1_score,round_2_score,round_3_score,round_4_score,round_5_score,round_6_score,round_7_score,round_8_score,round_9_score,round_10_score,round_11_score,round_12_score,round_1_time,round_2_time,round_3_time,round_4_time,round_5_time,round_6_time,round_7_time,round_8_time,round_9_time,round_10_time,round_11_time,round_12_time,treatment,treatment1,treatment3,treatment4,treatment5,treatment6,treatment7,treatment8,shape,size,color,shape.lm,size.lm,color.lm,Sex,Sex.lm,Lenses,Lenses.lm,avg_score,avg_time,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,avg,log_avg
2nd,BS Statistics,20,10,5,4,5,6,4,8,7,10,3,6,5,5,7,3013,2200,2672,3288,3608,9264,19361,8918,41784,34391,52488,64272,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Male,1,Yes,1,5.93859649122807,27.310973684210527,1.3275804845668768,2.272727272727273,2.245508982035928,1.2165450121654502,2.2172949002217295,0.7556131260794473,0.5165022467847735,0.33639829558196904,0.14359563469270534,0.14538687447297258,0.09525986892242036,0.10891212347523027,0.6898912748817482,-0.3712212664418515
4th,BS Statistics,21,13,7,4,5,6,7,8,9,10,11,12,13,9,13,5580,2217,3433,6991,6687,18088,39056,42943,112999,110975,156505,77233,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Female,0,Yes,1,9.87719298245614,64.30165789473683,0.7168458781362007,2.2552999548940007,1.747742499271774,1.0012873694750393,1.196351129056378,0.49756744803184433,0.2560426054895535,0.25615350581002727,0.10619563004982345,0.11714350078846587,0.05750614996325996,0.168321831341525,0.5016974315172863,-0.6897580670639618
2nd,BS Geography,22,9,8,4,5,6,7,8,9,7,6,8,8,7,3,2484,2255,2615,6503,7576,15201,45144,54800,76032,44407,96121,52576,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Female,0,Yes,1,6.578947368421052,43.492,1.6103059581320451,2.2172949002217295,2.294455066921606,1.0764262648008611,1.0559662090813093,0.5920663114268798,0.15505936558568137,0.10948905109489052,0.10521885521885523,0.18015177787285788,0.07282487697797568,0.057060255629945225,0.5336909102568399,-0.6279384273465047
1st,BS Statistics,18,10,4,4,5,6,7,8,9,10,5,10,11,12,9,3483,3231,3744,4520,9191,14120,34375,21374,84855,47928,41783,77712,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Male,1,Yes,1,8.701754385964913,37.33007894736842,1.1484352569623888,1.547508511296812,1.6025641025641026,1.5486725663716814,0.8704167120008705,0.6373937677053825,0.2909090909090909,0.2339290727051558,0.11784809380708267,0.22951093306626608,0.28719814278534334,0.11581222977146387,0.5361872033301425,-0.6232719189440963
4th,BS  Statistics,22,7,3,4,5,6,7,6,7,6,9,3,4,1,5,3724,4288,5432,7968,8144,12905,29664,21343,31696,20864,10176,26225,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Female,0,Yes,1,5.026315789473684,17.76172807017544,1.0741138560687433,1.166044776119403,1.1045655375552283,0.8785140562248996,0.7367387033398821,0.5424254165052306,0.2022653721682848,0.42168392447172376,0.09464916708732964,0.19171779141104295,0.09827044025157233,0.19065776930409914,0.4228452647929001,-0.8607489711306666
3rd,BS Statistics,21,14,6,4,5,6,7,8,7,10,11,12,13,14,12,4900,5744,5344,5808,6527,11552,11913,18167,42160,67991,66752,95791,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Male,1,Yes,1,10.201754385964913,38.22269298245614,0.8163265306122449,0.8704735376044568,1.122754491017964,1.2052341597796143,1.2256779531178184,0.6059556786703602,0.8394191219675984,0.6054934771839049,0.2846299810246679,0.19120177670574046,0.20973154362416108,0.12527272917079893,0.5598333288989645,-0.5801161665187724
2nd,BS Statistics,20,7,8,4,5,6,7,6,6,7,6,4,5,7,4,11915,3545,3320,5449,5017,10489,14152,21319,17120,19328,8697,26768,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Male,1,No,0,5.5701754385964914,14.157859649122807,0.3357112882920688,1.4104372355430184,1.8072289156626506,1.284639383373096,1.1959338249950169,0.5720278386881494,0.4946297343131713,0.2814390918898635,0.2336448598130841,0.2586920529801324,0.8048752443371278,0.14943215780035865,0.6198701737260398,-0.4782452200857227
1st,BS Statistics,20,8,8,4,5,6,5,8,7,6,9,5,3,5,3,3595,1808,2297,2975,3368,11800,7776,15936,27103,29704,55407,39752,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Female,0,Yes,1,5.368421052631579,22.17186842105263,1.1126564673157162,2.765486725663717,2.61210274270788,1.680672268907563,2.375296912114014,0.5932203389830508,0.7716049382716049,0.5647590361445783,0.18448142272073204,0.10099649878804201,0.09024130525023914,0.0754679009861139,0.7886602395564565,-0.23741967248182
2nd,BS Statistics,21,15,8,4,5,6,7,8,7,7,9,12,13,14,15,2690,2784,3752,6151,7096,17512,33191,64577,77935,113257,305248,267824,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Male,1,Yes,1,10.140350877192983,105.66030701754386,1.486988847583643,1.7959770114942528,1.5991471215351811,1.1380263371809463,1.1273957158962795,0.39972590223846505,0.21090054532855293,0.13936850581476376,0.15397446590107142,0.1147831922088701,0.04586434636754377,0.05600692992412928,0.4699100463981019,-0.7552139932378954
3rd,BA Psych,21,10,6,4,5,6,7,8,7,10,4,6,8,7,1,5839,3488,9144,10632,27824,52495,41847,38886,81825,91446,87593,63607,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Female,0,No,0,6.017543859649122,53.179403508771934,0.6850488097276931,1.43348623853211,0.6561679790026247,0.6583897667419112,0.2875215641173088,0.13334603295551958,0.2389657562071355,0.10286478424111506,0.07332722273143905,0.08748332349145944,0.07991506170584407,0.01572154008206644,0.25304090802036205,-1.3742041115452366
2nd,BS Statistics,20,15,6,4,5,6,7,8,9,10,11,12,13,12,15,3699,5280,10008,11599,16511,51007,43528,68762,136320,90856,120408,92330,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Male,1,No,0,10.508771929824562,68.88491228070176,1.0813733441470668,0.946969696969697,0.5995203836930456,0.6035003017501509,0.4845254678699049,0.17644637010606387,0.22973718066531887,0.15997207760100055,0.0880281690140845,0.1430835607995069,0.09966115208291808,0.16246073865482508,0.29080564506640283,-1.235100121315854
3rd,BS Statistics,21,11,6,4,5,6,7,8,9,10,11,5,6,8,4,2259,2464,2832,4887,11640,21216,7480,23447,28552,25768,43544,23512,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Male,1,Yes,1,7.035087719298246,20.431947368421053,1.7706949977866313,2.029220779220779,2.1186440677966103,1.4323715981174545,0.6872852233676976,0.4242081447963801,1.3368983957219251,0.46914317396681876,0.17511908097506304,0.2328469419434958,0.18372221201543268,0.1701258931609391,0.6847851054772971,-0.37865020457032394
4th,BS Statistics,22,9,6,4,5,6,7,8,9,8,9,10,4,5,6,4316,2432,2743,4888,7376,11856,25978,34440,36104,53785,27534,31287,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Female,0,No,0,6.859649122807017,25.1900350877193,0.9267840593141798,2.0559210526315788,2.187386073641998,1.4320785597381342,1.0845986984815619,0.7591093117408907,0.30795288320886904,0.2613240418118467,0.27697762020828715,0.07437017755879892,0.18159366601292948,0.19177294083804775,0.5991923134516546,-0.51217267487934
4th,BS Statistics,22,8,5,4,5,6,7,8,5,5,6,6,6,6,4,2475,2280,2375,3152,6112,12431,12040,18720,29975,12407,14393,18336,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Male,1,Yes,1,5.657894736842105,13.52843859649123,1.6161616161616161,2.192982456140351,2.526315789473684,2.220812182741117,1.3089005235602094,0.4022202558120827,0.4152823920265781,0.32051282051282054,0.20016680567139283,0.4835979688885307,0.4168693114708539,0.2181500872600349,0.7692981327296093,-0.2622766957532507
1st,BS Statistics,19,11,6,4,5,6,7,8,7,7,11,5,8,8,3,3740,7632,5376,7553,6448,16199,19031,21337,32001,57392,29368,46409,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Male,1,Yes,1,6.7105263157894735,26.298543859649122,1.0695187165775402,0.6551362683438156,1.1160714285714286,0.9267840593141798,1.2406947890818858,0.43212543984196555,0.3678209237559771,0.5155363921825936,0.15624511734008312,0.13939224979091164,0.27240533914464726,0.0646426339718589,0.45940197307389424,-0.7778296938432533
4th,BS Statistics,22,10,7,4,5,6,4,8,9,10,7,8,7,9,7,4012,4280,4529,6056,7544,18999,31256,34264,71087,80600,91728,56881,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Female,0,No,0,7.412280701754386,44.43922807017544,0.9970089730807578,1.1682242990654206,1.3247957606535659,0.6605019815059445,1.0604453870625663,0.4737091425864519,0.31993857179421553,0.20429605416763952,0.11253815746901684,0.08684863523573201,0.09811616954474098,0.12306394050737504,0.4060886767070846,-0.9011837276949135
3rd,BS Statistics,21,14,7,4,5,6,3,8,9,4,7,12,13,14,7,3448,6193,2897,17001,5592,15383,21438,30751,64656,101976,135840,178704,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Male,1,Yes,1,8.543859649122806,66.67412280701754,1.160092807424594,0.80736315194574515,2.0711080428028996,0.1764602082230457,1.4306151645207439,0.5850614314503023,0.186584569456106,0.22763487366264512,0.1855976243504083,0.12748097591590177,0.10306242638398115,0.03917091950935626,0.4327563346403715,-0.8375804469269544
3rd,BS Statistics,20,13,5,4,5,6,7,6,6,5,11,5,13,12,7,3322,4248,7440,8240,19975,16913,47904,77528,138481,101592,99776,184872,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Female,0,Yes,1,7.9035087719298245,78.36074561403508,1.2040939193257074,1.177024482109228,0.8064516129032258,0.8495145631067961,0.30037546933667086,0.3547566960326376,0.10437541750167001,0.14188422247446084,0.03610603620713311,0.127962831719033,0.12026940346375882,0.03786403565710329,0.2985581208633419,-1.208790655343026
1st,BS Statistics,19,9,4.5,4,5,6,4,8,9,5,4,5,6,3,4,4017,3303,7529,13674,8520,29648,22369,36280,60951,55864,77352,46136,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Female,0,No,0,5.12280701754386,38.27937719298246,0.9957679860592482,1.5137753557372087,0.796918581484925,0.292525961679099,0.9389671361502347,0.3035617916891527,0.2235236264473155,0.11025358324145534,0.08203310856261588,0.10740369468709723,0.03878374185541421,0.08670019074041962,0.3183954510428547,-1.1444611120396757
2nd Year,BS Statistics,20,8,6,4,5,6,5,8,4,7,9,4,4,9,3,3428,3888,7088,13184,11216,36928,46336,66993,86360,46712,78832,55688,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Female,0,Yes,1,5.719298245614035,47.13048245614035,1.1668611435239207,1.286008230452675,0.8465011286681715,0.379247572815534,0.7132667617689016,0.10831889081455806,0.15107044198895028,0.13434239398146075,0.04631773969430292,0.08563110121596164,0.1141668358027197,0.05387157017669875,0.2857554984146695,-1.2526187344462552
4th,BS Statistics,22,15,6,4,5,6,7,8,7,8,11,10,6,14,15,5268,2185,3080,4185,5423,14928,27384,33992,62047,46761,95095,102145,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Female,0,No,0,9.412280701754385,44.923,0.7593014426727411,2.288329519450801,1.948051948051948,1.6726403823178018,1.4751982297621242,0.46891747052518756,0.29214139643587494,0.32360555424805837,0.16116814672748078,0.1283120549175595,0.1472211998527788,0.14685006608252973,0.598635860791467,-0.513101777587361
4th,BA European Languages,23,8,7,2,5,6,5,8,4,6,8,6,10,5,3,2459,4240,2281,8048,5201,12328,27705,33144,27585,48711,78407,52968,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Female,0,Yes,1,5.868421052631579,32.90993859649123,0.813338755591704,1.179245283018868,2.63042525208242,0.621272365805169,1.5381657373582003,0.3244646333549643,0.2165674066053059,0.24137098720733768,0.21750951604132682,0.2052924390794687,0.0637698164704682,0.05663797009515179,0.4942856571713049,-0.7046416755350703
2nd,BS Statistics,19,15,5,4,5,6,7,8,9,6,11,9,13,10,15,3506,3008,4232,4888,13080,31984,39599,68344,69128,134344,88785,285520,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Female,0,Yes,1,9.596491228070175,85.35736842105263,1.1409013120365088,1.6622340425531914,1.4177693761814745,1.4320785597381342,0.6116207951070336,0.28139069534767386,0.15151897775196344,0.1609504857778298,0.13019326466844117,0.09676650985529685,0.11263163822717802,0.05253572429251891,0.41493185947313427,-0.8796409662733963
2nd,BS Statistics,20,15,5,4,5,6,7,8,4,6,7,8,13,10,15,2615,2855,4280,8520,9224,34057,40031,40855,102864,135599,250367,360280,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Female,0,No,0,8.710526315789474,116.1979649122807,1.5296367112810707,1.7513134851138354,1.4018691588785046,0.8215962441314554,0.8673026886383348,0.1174501570895851,0.14988384002398142,0.17133765756945293,0.07777259293824856,0.09587091350231196,0.03994136607460248,0.04163428444543133,0.3840334637878628,-0.9570255849104469
4th,BS Statistics,21,15,5,2,5,6,7,8,7,10,9,12,13,12,15,24908,11168,7048,9775,11896,20408,65456,76616,111784,91488,94505,123256,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Female,0,No,0,10.087719298245615,67.93879824561404,0.08029548739360848,0.4477077363896848,0.8513053348467651,0.7161125319693095,0.6724949562878278,0.3430027440219522,0.15277438279149352,0.11746893599248198,0.1073498890717813,0.14209513816019587,0.12697740860271944,0.12169792951255923,0.26934925405957394,-1.3117463992688445
3rd,BS Statistics,22,9,8,4,5,6,5,8,9,7,4,2,5,9,5,3674,6209,3823,9081,8009,8376,14991,18960,16689,33232,17761,18248,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Female,0,No,0,5.798245614035087,15.656403508771929,1.0887316276537833,0.8052826542116283,1.5694480774261053,0.5506001541680432,0.9988762642027719,1.0744985673352436,0.4669468347675272,0.2109704641350211,0.1198394151836539,0.15045739046701975,0.5067282247621192,0.2740026304252521,0.5342291549081547,-0.626930403029988
1st,BS Statistics,18,9,4,4,5,6,7,8,9,4,9,10,9,11,7,3367,3352,7696,6552,6481,19159,30720,60608,88088,97408,51240,142944,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Male,1,No,0,7.947368421052632,57.064166666666665,1.188001188001188,1.4916467780429594,0.7796257796257796,1.0683760683760684,1.2343774108933807,0.46975311863875985,0.13020833333333334,0.14849524815205914,0.11352284079556807,0.09239487516425755,0.21467603434816548,0.048970226102529664,0.4184945575052895,-0.871091393903503
2nd,BS Statistics,21,15,9,4,5,6,7,8,9,8,11,12,13,14,15,3264,4079,4776,7193,6001,25824,68104,60392,120825,113465,39015,252954,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Female,0,Yes,1,10.578947368421053,78.97981578947368,1.2254901960784315,1.2257906349595489,1.256281407035176,0.9731683581259558,1.3331111481419764,0.34851301115241634,0.1174674027957242,0.18214333024241622,0.09931719428926133,0.11457277574582471,0.35883634499551453,0.05929931924381508,0.44697358674646387,-0.8052557761671076
3rd,BS Statistics,22,14,5,4,5,6,7,8,9,10,7,12,13,14,8,11108,2656,6208,4800,17807,12751,44391,45494,95800,76160,72784,156169,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Female,0,No,0,9.447368421052632,59.92377192982457,0.3601008282319049,1.8825301204819278,0.9664948453608248,1.4583333333333333,0.44926152636603583,0.7058269939612579,0.22527088824311234,0.15386644392667165,0.12526096033402923,0.17069327731092437,0.19234996702571994,0.05122655584655085,0.4204874846328804,-0.8663405630729896
3rd,BS Statistics,21,10,6,4,5,6,5,6,9,10,7,7,9,11,6,2260,1968,1951,3599,4183,6367,12809,17688,16688,27561,24194,26689,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Female,0,No,0,7.5701754385964914,15.498280701754386,1.7699115044247788,2.540650406504065,3.0753459764223474,1.3892747985551541,1.4343772412144393,1.4135385581906705,0.7807010695604653,0.39574853007688826,0.41946308724832215,0.32654838358550126,0.45465817971397865,0.22481172018434561,0.9064305555339811,-0.09824085896498012
4th,BS Statistics,22,14,4,4,5,6,7,8,6,10,11,10,13,14,13,3678,5159,9687,8103,11152,22185,56088,41128,77200,61688,62384,91889,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Female,0,Yes,1,10.043859649122806,47.69801754385965,1.0875475802066341,0.9691800736576855,0.6193868070610096,0.8638775762063433,0.7173601147776184,0.2704530087897228,0.1782912565967765,0.26745769305582573,0.12953367875647667,0.21073790688626637,0.2244165170556553,0.14147504053804047,0.36329310116916397,-1.0125453292852287
1,BS Statistics,19,14,8.5,4,5,6,4,8,3,8,9,12,11,14,8,2340,2681,3833,5919,10687,23064,27296,57968,26791,42072,36849,69521,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Female,0,Yes,1,8.578947368421053,32.61407894736842,1.7094017094017093,1.864975755315181,1.5653535090007826,0.6757898293630681,0.7485730326564985,0.13007284079084286,0.29308323563892147,0.15525807341981784,0.4479116121085439,0.26145655067503326,0.37992889902032617,0.11507314336675249,0.5079124798856974,-0.6774461299357668
3rd,BS Statistics,21,15,4,4,5,6,7,8,4,7,11,12,13,14,15,3974,2928,4464,7199,13568,50584,82863,103935,113848,121584,96272,189400,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Female,0,No,0,10.096491228070175,85.78073684210527,1.0065425264217414,1.7076502732240437,1.3440860215053763,0.9723572718433116,0.589622641509434,0.07907638779060573,0.08447678698574757,0.10583537788040602,0.10540369615627855,0.10692196341623898,0.14542130629882,0.0791974656810982,0.35747152898387624,-1.0286995592253851
2nd,BS Statistics,20,15,5,4,5,6,7,8,9,10,11,12,13,14,15,4179,3864,9367,9360,14008,22704,184272,95263,79721,53584,164968,237816,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Female,0,Yes,1,10.75438596491228,95.56848245614034,0.957166786312515,1.2939958592132506,0.640546599765133,0.7478632478632479,0.5711022272986864,0.3964059196617336,0.05426760441087089,0.11546980464608504,0.15052495578329425,0.24260973424902957,0.08486494350419475,0.06307397315571703,0.31948007532054373,-1.1410603691731678
3rd,BS Statistics,20,15,6,4,5,6,7,8,9,8,11,12,13,14,15,4797,6216,9376,26456,31681,50560,116688,76839,94095,114921,97983,142927,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Female,0,No,0,10.578947368421053,80.27274561403509,0.8338544923910778,0.8043758043758044,0.6399317406143344,0.26459026307831873,0.25251728165146303,0.17800632911392406,0.06855889208830385,0.14315647002173376,0.1275306870715766,0.11312118759843719,0.14288192849780063,0.10494868009543333,0.22374601286908782,-1.4972437415654387
1st,BS Statistics,19,13,5,4,5,6,7,8,9,10,8,9,13,7,10,1876,2040,3230,3799,4056,7169,17351,31064,26161,36680,38543,83879,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Male,1,Yes,1,8.631578947368421,28.635254385964913,2.1321961620469083,2.450980392156863,1.8575851393188854,1.8425901553040274,1.9723865877712032,1.2554052169061236,0.5763356578871535,0.25753283543651817,0.34402354650051603,0.3544165757906216,0.1816153387126067,0.11921935168516554,0.8207709562767515,-0.19751118984476415
1st,Bs Business Administration and Accpuntancy,19,10,6,4,5,6,7,8,9,10,9,9,9,10,9,3099,2728,3079,10431,7841,17952,59142,35273,31159,54047,42631,75216,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Female,0,Yes,1,8.508771929824562,36.165254385964914,1.2907389480477574,1.8328445747800586,1.948684637869438,0.671076598600326,1.02027802576202,0.5013368983957219,0.16908457610496772,0.2551526663453633,0.2888411052986296,0.1665217310859067,0.234571086767845,0.1196553924696873,0.5140202275044916,-0.6654926611797067
4th,BS Statistics,21,14,5,4,5,6,7,8,9,10,11,8,13,14,11,3853,3319,3463,7846,7800,21224,33128,32248,39264,62952,84601,111095,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Female,0,No,0,9.807017543859649,45.50450877192982,1.0381520892810796,1.5064778547755349,1.7326017903551834,0.8921743563599286,1.0256410256410255,0.4240482472672446,0.30185945423810673,0.34110642520466383,0.20374898125509372,0.20650654466895413,0.16548267750972212,0.09901435708177686,0.4916640545170058,-0.7099596117372077
2nd,BS Statistics,20,15,7,4,5,6,5,8,9,8,9,9,4,12,15,3914,3768,4591,6566,6584,17376,23161,24887,32376,54664,102191,198526,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Female,0,No,0,8.675438596491228,55.5275,1.021972406745018,1.326963906581741,1.306904813766064,0.7614986293024673,1.2150668286755772,0.5179558011049724,0.3454082293510643,0.36163458833929363,0.27798369162342473,0.07317430118542367,0.11742717069017819,0.0755568540140838,0.462923083043509,-0.770194366032411
2nd,BS Statistics,20,15,5,4,5,6,7,8,9,8,9,10,9,14,15,5250,5401,10055,18544,23049,55800,169000,72360,81743,63448,58535,145128,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Female,0,No,0,9.719298245614034,72.0425,0.7619047619047619,0.9257544899092761,0.5967180507210343,0.37748058671268336,0.34708664150288515,0.16129032258064516,0.047337278106508875,0.12437810945273632,0.12233463415827656,0.1418484428193166,0.23917314427265737,0.10335703654704813,0.2471905865205952,-1.397595634541983
2nd,BS Statistics,20,9,7,4,5,6,7,8,9,6,6,0,9,6,6,2172,5248,9753,9703,20232,20616,97807,81384,57808,53303,11799,165375,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Male,1,Yes,1,6.035087719298246,56.26760526315789,1.8416206261510129,0.9527439024390244,0.6151953245155337,0.7214263629805215,0.39541320680110714,0.43655413271245636,0.06134530248346233,0.07372456502506636,0,0.16884603118023375,0.5085176709890669,0.036281179138321996,0.34426787789431706,-1.0663352098407428
3rd,BS Statistics,21,15,5,4,5,6,7,8,9,6,9,8,13,14,15,5410,6863,8072,11768,12184,43552,63488,53448,64944,127071,98881,222815,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Male,1,Yes,1,9.789473684210526,79.44579824561403,0.7393715341959335,0.7285443683520326,0.7433102081268583,0.5948334466349422,0.6565988181221274,0.20664952240999265,0.09450604838709678,0.16838796587337224,0.1231830500123183,0.10230501058463379,0.1415843286374531,0.06732042277225501,0.27135102095746394,-1.3043420159684178
3rd,BS Statistics,21,14,8.5,4,5,6,4,8,5,6,11,5,9,14,2,2893,2856,2728,6591,13559,21071,47600,54447,33432,71432,87776,118176,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Male,1,Yes,1,7,50.81306140350877,1.38264777048047,1.7507002801120448,2.19941348973607,0.6068881808526779,0.5900140128328047,0.23729296189075033,0.12605042016806722,0.20203133322313443,0.14955731036133046,0.12599395229029006,0.15949690120306234,0.016923910100189548,0.42093695338716725,-0.86527221093885
3rd,BS Statistics,21,11,6,4,5,6,7,8,9,10,11,10,2,7,3,2299,4376,6263,11504,17392,35976,61087,92543,89966,61512,40144,22135,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Male,1,No,0,6.850877192982456,43.984508771929825,1.7398869073510221,1.1425959780621573,0.9580073447229762,0.6084840055632823,0.45998160073597055,0.2501667778519013,0.16370095110252592,0.11886366337810532,0.11115310228308473,0.032513981011835086,0.17437225986448784,0.1355319629545968,0.3314608184623479,-1.1042456710254787
3rd,BS Statistics,21,14,7,4,5,6,5,8,9,10,6,12,8,14,11,3388,3223,8791,10479,22127,20545,69823,60912,88696,31384,55465,141223,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Male,1,No,0,9.052631578947368,54.85217543859649,1.1806375442739079,1.5513496742165684,0.6825162097599818,0.47714476572192005,0.36154923848691645,0.43806278899975665,0.1432192830442691,0.09850275807722617,0.1352935870839722,0.2549069589599796,0.25241143063193006,0.07789099509286732,0.34126780536582946,-1.075087756947931
1st,BS Statistics,18,9,4.5,4,5,6,7,8,9,6,6,7,6,11,6,2667,5656,6529,8136,6831,12064,22160,18393,10238,18608,20536,17368,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Male,1,Yes,1,7.043859649122807,14.342149122807017,1.4998125234345707,0.884016973125884,0.9189768724153775,0.8603736479842674,1.1711316059142145,0.7460212201591512,0.27075812274368233,0.326211058554885,0.6837272904864231,0.32244196044711954,0.5356447214647448,0.34546292031321973,0.6088807132183406,-0.49613290366259677
2nd,bs statistics,21,15,6,4,5,6,7,8,7,10,8,12,13,14,15,2820,2064,3848,2487,2767,4480,34319,33306,56512,98080,67382,69336,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Female,0,Yes,1,10.307017543859649,41.84807894736842,1.4184397163120568,2.4224806201550386,1.5592515592515592,2.8146361077603537,2.8912179255511385,1.5625,0.2913837815787173,0.24019696150843692,0.21234428086070214,0.13254486133768353,0.2077706212341575,0.21633783316026306,0.8773459880267088,-0.13085385126646318
4th,BS Statistics,22,15,9,4,5,6,7,8,9,10,11,12,13,14,15,2852,2746,3945,7847,7440,16256,52512,67983,92928,108879,92495,194409,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Female,0,No,0,10.75438596491228,73.01861403508772,1.402524544179523,1.820830298616169,1.520912547528517,0.8920606601248885,1.075268817204301,0.5536417322834646,0.19043266301035955,0.16180515717164584,0.12913223140495866,0.11939859844414441,0.15135953294772692,0.07715692174744997,0.47132820093977945,-0.7522006103482498
3rd,BS Statistics,22,12,3,4,5,6,7,8,7,10,11,12,10,11,12,6603,3727,9448,13799,26295,57288,102175,119296,132056,78999,64544,148240,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Female,0,No,0,9.491228070175438,78.9224649122807,0.6057852491291837,1.3415615776764154,0.6350550381033023,0.5072831364591637,0.30424034987640236,0.12218963831867058,0.09787129924149743,0.09220761802575107,0.09087053977100625,0.12658388080861782,0.17042637580565195,0.08094981111710739,0.24872930490447462,-1.3913901027683655
4th,BS Statistics,22,15,7,4,5,6,7,8,9,10,11,7,13,14,15,2108,1577,2791,7376,2992,16857,31511,31240,34841,43616,39535,104817,2,0,0,0,0,0,0,0,square,small,static,0,0,1,Female,0,Yes,1,10.228070175438596,35.35034210526316,1.8975332068311195,3.170577045022194,2.149767108563239,0.9490238611713666,2.6737967914438503,0.5339028296849974,0.31734949700104725,0.352112676056338,0.20091271777503517,0.29805575935436535,0.35411660553939545,0.14310655714244827,0.7861134233066303,-0.2406541925024561
4th,BS Statistics,21,15,6,4,5,6,7,8,9,10,11,10,8,7,15,4903,2936,3015,3817,4640,14167,34872,21096,39295,66640,96193,84039,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Female,0,Yes,1,9.114035087719298,41.83900877192983,0.8158270446665307,1.7029972752043596,1.9900497512437811,1.8339009693476551,1.7241379310344827,0.6352791699018847,0.28676301904106444,0.521425862722791,0.2544853034737244,0.12004801920768307,0.0727703679061886,0.1784885588833756,0.6401788765847387,-0.4460076470161225
2nd,BS Statistics,20,13,4,4,5,6,7,8,7,10,11,4,13,9,3,2473,1880,2080,1928,3105,5585,18199,12455,26295,56985,58425,102255,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Male,1,No,0,7.56140350877193,33.74989473684211,1.6174686615446825,2.6595744680851063,2.8846153846153846,3.6307053941908713,2.576489533011272,1.2533572068039391,0.5494807407000385,0.8831794460056203,0.15212017493820118,0.22813020970430814,0.1540436456996149,0.029338418659234266,1.0261413301501583,0.025805485946463733
1st,BS Computer Engineering,19,8,6,4,5,6,7,8,7,8,9,9,6,5,9,1979,2119,1337,2488,4247,6280,15526,22127,9478,89479,64575,57848,3,0,1,0,0,0,0,0,hex,large,static,1,1,1,Male,1,Yes,1,7.219298245614035,31.419605263157894,2.02122283981809,2.359603586597452,4.487658937920718,2.8135048231511255,1.8836825994819872,1.1146496815286624,0.5152647172484864,0.406742893297781,0.9495674192867694,0.06705483968305412,0.07742934572202866,0.15558014105932788,1.0255768290660998,0.025255214364797468
